actor_list
Charles Chaplin
Tom Hanks
Al Pacino
Leonardo DiCaprio
Daniel Day-Lewis
Natalie Portman
James Stewart
Jack Nicholson
Denzel Washington
Vera Miles
Liam Neeson
Ralph Fiennes
Gary Oldman
Edward Norton
Christian Bale
Morgan Freeman
Clint Eastwood
Russell Crowe
Marlon Brando
Clive Owen
Orson Welles
Colin Firth
Tom Hardy
Adrien Brody
Robert De Niro
Helena Bonham Carter
Kevin Costner
Billy Bob Thornton
Edna Purviance
Brendan Gleeson
Kate Winslet
Christian Berkel
Jean Reno
Dustin Hoffman
Vincent Cassel
Joe Pesci
Christoph Waltz
Jim Carrey
Shahab Hosseini
Matthew McConaughey
Sebastian Koch
Audrey Tautou
Ben Kingsley
Paul Dano
Nick Nolte
Robin Williams
Predrag 'Miki' Manojlovic
Forest Whitaker
Cameron Diaz
Audrey Hepburn
Hugh Jackman
Carey Mulligan
Alan Alda
Fatemah Motamed-Aria
Parviz Parastui
Keira Knightley
Naomi Watts
Jake Gyllenhaal
Matt Damon
Ray Milland
Mirjana Jokovic
Jennifer Lawrence
Tahar Rahim
Jude Law
Salma Hayek
Ricardo Darín
Alfred Molina
Anthony Hopkins
Bruno Ganz
Corinna Harfouch
Matthew Macfadyen
Christopher Walken
Mel Gibson
Jennifer Aniston
Nicole Kidman
Negar Javaherian
Mehran Modiri
Colin Farrell
Hanie Tavassoli
Golshifteh Farahani
Tom Cruise
George Clooney
Brad Pitt
Angelina Jolie
Juno Temple
Khosro Shakibai
Rambod Javan
Mohammad Reza Golzar
