movie_ID,Job,Name
404733, job: Foley, name: Eric Grattepain
9387, job: Screenplay, name: John Milius
87101, job: Casting, name: Ronna Kress
15651, job: Executive In Charge Of Post Production, name: Darin Kuhlmann
10012, job: Casting, name: Lisa Beach
139933, job: Casting, name: Kerry Barden
4970, job: Director, name: Mathieu Kassovitz
103, job: Director, name: Martin Scorsese
9426, job: Director, name: David Cronenberg
8961, job: Art Direction, name: David Lazan
76341, job: Writer, name: Nick Lathouris
318846, job: Director, name: Adam McKay
341006, job: Writer, name: James Gunn
63112, job: Camera Operator, name: Giuseppe Lanci
35122, job: Production Design, name: Patti Podesta
9268, job: Director, name: Chuck Russell
284289, job: Producer, name: Michael Douglas
18, job: Screenplay, name: Luc Besson
338, job: Editor, name: Peter R. Adam
16871, job: Casting, name: John Papsidera
173897, job: Director, name: Paul W.S. Anderson
368031, job: Director, name: Simon Verhoeven
, job: Director of Photography, name: Rodrigo Prieto
16617, job: Casting, name: Monika Mikkelsen
47327, job: Sound Re-Recording Mixer, name: Tom Johnson
300673, job: Director of Photography, name: Javier Aguirresarobe
194662, job: Editor, name: Stephen Mirrione
55534, job: Music, name: Stephen Warbeck
402298, job: Director, name: Mick Jackson
393457, job: Director, name: Denzel Washington
2321, job: Costume Design, name: Colleen Atwood
416477, job: Visual Effects, name: Neal Jones
1541, job: Director, name: Ridley Scott
13154, job: Director, name: Mark L. Lester
10796, job: Sound Designer, name: Harry Cohen
72545, job: Executive Producer, name: Michael Bostick
291356, job: ADR & Dubbing, name: Paul Bruski
10191, job: Original Music Composer, name: John Powell
10715, job: Supervising Sound Editor, name: Mark A. Mangini
17337, job: Animation, name: Javier Gutiérrez
35, job: Director, name: David Silverman
9297, job: Executive Producer, name: Robert Zemeckis
381034, job: Executive Producer, name: Robert Jones
10315, job: Novel, name: Roald Dahl
13053, job: Executive Producer, name: John Lasseter
2062, job: Executive Producer, name: Andrew Stanton
8392, job: Animation, name: Tensai Okamura
14836, job: Editor, name: Ronald Sanders
44912, job: Director of Photography, name: Dion Beebe
51162, job: Director of Photography, name: Julio Macat
10009, job: Director, name: Aaron Blaise
15947, job: Music Director, name: Paul J. Smith
214756, job: Casting, name: Sheila Jaffe
12, job: Screenplay, name: Andrew Stanton
15166, job: Casting, name: April Webster
7443, job: Executive Producer, name: Jake Eberts
9473, job: Executive Producer, name: Scott Rudin
128, job: Screenplay, name: Hayao Miyazaki
72105, job: Casting, name: Sheila Jaffe
10470, job: Director, name: Michael Schaack
533, job: Screenplay, name: Nick Park
77174, job: Music, name: Jon Brion
49948, job: Producer, name: Donald W. Ernst
378236, job: Executive Producer, name: Ben Waisbren
149870, job: Screenplay, name: Hayao Miyazaki
9496, job: Director, name: Gerhard Hahn
12593, job: Screenplay, name: Ralph Bakshi
170687, job: Songs, name: Eric Idle
98566, job: Director, name: Jonathan Liebesman
10539, job: Director, name: Henry Selick
16306, job: Director, name: René Laloux
41201, job: Screenplay, name: Jacques Tati
291270, job: Director, name: Duke Johnson
3170, job: Producer, name: Walt Disney
10895, job: Director, name: Hamilton Luske
223046, job: Director, name: Maurice Sendak
49013, job: Director, name: John Lasseter
10380, job: Director, name: Phil Nibbelink
230179, job: Executive Producer, name: Alex Garland
257344, job: Director, name: Chris Columbus
43074, job: Director, name: Paul Feig
75258, job: Executive Producer, name: John Lasseter
21724, job: Casting, name: Lisa Beach
238713, job: Director, name: Paul Feig
120467, job: Set Decoration, name: Anna Pinnock
73686, job: Director, name: Agnieszka Holland
9331, job: Editor, name: Neil Travis
77084, job: Executive Producer, name: Danny Glover
38843, job: Director of Photography, name: John Bailey
71668, job: Casting, name: Nancy Nayor
49047, job: Casting, name: Lucinda Syson
19101, job: Executive Producer, name: Alan C. Blomquist
497, job: Original Music Composer, name: Thomas Newman
45864, job: Music, name: Klaus Badelt
38753, job: Director, name: Mitch Glazer
24617, job: Production Design, name: Kim Sinclair
8373, job: Casting, name: Denise Chamian
773, job: Costume Design, name: Nancy Steiner
182, job: Music, name: Thomas Newman
292280, job: Music Editor, name: Zigmund Gron
152747, job: Sound Designer, name: Steve Boeddeker
1073, job: Executive Producer, name: Tom Rosenberg
277, job: Director, name: Len Wiseman
17578, job: Original Music Composer, name: John Williams
346672, job: Producer, name: Tom Rosenberg
38408, job: Casting, name: John Papsidera
10782, job: Original Music Composer, name: Klaus Badelt
302026, job: Director, name: Mamoru Oshii
34016, job: Original Music Composer, name: Michael Andrews
227679, job: Director, name: Kunihiko Yuyama
72197, job: Music, name: Theodore Shapiro
3179, job: Director, name: Mike Judge
314, job: Director of Photography, name: Thierry Arbogast
8880, job: Casting, name: Suzanne Smith
9846, job: Director of Photography, name: Robby Müller
10345, job: Supervising Sound Editor, name: Richard L. Anderson
127380, job: Screenplay, name: Andrew Stanton
100241, job: Screenplay, name: Stuart Beattie
157350, job: Producer, name: Douglas Wick
13804, job: Supervising Art Director, name: David Lazan
27579, job: Producer, name: George Clooney
293167, job: Original Story, name: Merian C. Cooper
396398, job: Casting, name: Francine Maisler
672, job: Original Music Composer, name: John Williams
36557, job: Art Direction, name: Michael Lamont
154972, job: Sound Effects Editor, name: Jon Olive
310131, job: Co-Executive Producer, name: Mark Gingras
11665, job: Producer, name: Charles Roven
10190, job: Original Music Composer, name: Thomas Newman
8883, job: Costume Design, name: Manon Rasmussen
2289, job: Casting, name: Ronna Kress
408, job: Director, name: David Hand
62835, job: Screenplay, name: Luc Besson
240, job: Director, name: Francis Ford Coppola
9381, job: Director of Photography, name: Thierry Arbogast
335988, job: Story, name: Akiva Goldsman
1995, job: Art Direction, name: Jim Morahan
228165, job: Storyboard, name: Jay Oliva
398818, job: Director, name: Luca Guadagnino
37430, job: Producer, name: Henry Winterstern
62630, job: Casting, name: John Hubbard
287424, job: Director, name: Henry Hobson
188927, job: Producer, name: J.J. Abrams
10483, job: Screenplay, name: Paul W.S. Anderson
64215, job: Director, name: Sophon Sakdaphisit
157336, job: Art Direction, name: Kendelle Elliott
54138, job: Producer, name: J.J. Abrams
158852, job: Editor, name: Craig Wood
190955, job: Director, name: Guillaume Canet
12165, job: Casting, name: Debra Zane
287084, job: Director, name: Alfonso Gomez-Rejon
10057, job: Editor, name: John F. Link
13155, job: Thanks, name: George Lucas
11059, job: Director, name: Uwe Boll
634, job: Production Supervisor, name: Brian Donovan
9092, job: Camera Operator, name: Bill Coe
5176, job: Director, name: James Mangold
1878, job: Director, name: Terry Gilliam
9613, job: Director, name: David Cronenberg
140607, job: Director, name: J.J. Abrams
12547, job: Casting, name: Daniel Hubbard
11860, job: Director, name: Sydney Pollack
666, job: Producer, name: Robert Redford
1891, job: Editor, name: George Lucas
9008, job: Director, name: Michael Mann
313369, job: Director, name: Damien Chazelle
938, job: Original Music Composer, name: Ennio Morricone
33, job: Director, name: Clint Eastwood
9654, job: Art Direction, name: Doug J. Meerdink
618, job: Assistant Director, name: Erich von Stroheim
68818, job: Casting, name: Jina Jay
152584, job: Producer, name: Vincent Maraval
63849, job: Production Design, name: Alexander Manasse
13168, job: Casting, name: Monika Mikkelsen
55562, job: Set Decoration, name: Bernd Lepel
41225, job: Director, name: Federico Fellini
278774, job: Director, name: Peter DeLuise
40807, job: Thanks, name: James L. Brooks
11970, job: Sound Designer, name: Gary Rydstrom
510, job: Director, name: Miloš Forman
244267, job: Casting, name: Dilip Shankar
79528, job: Editor, name: Felipe Lacerda
11210, job: Executive Producer, name: Bob Weinstein
220820, job: Editor, name: Danny Saphire
38166, job: Costume Design, name: Tina Fiorda
16687, job: Executive Producer, name: Jackie Chan
9509, job: Producer, name: Arnon Milchan
376134, job: Music Supervisor, name: Doug Bernheim
13639, job: Casting, name: Job Gosschalk
24021, job: Original Music Composer, name: Howard Shore
11451, job: Art Direction, name: David Lazan
277834, job: Director, name: Ron Clements
415, job: Sound Designer, name: Lance Brown
356334, job: Sound Re-Recording Mixer, name: Rudy Michael
7364, job: Set Decoration, name: Anna Pinnock
11774, job: Original Music Composer, name: Thomas Newman
160139, job: Director, name: Bille August
1578, job: Director, name: Martin Scorsese
102899, job: Story, name: Joe Cornish
9457, job: Sound Re-Recording Mixer, name: Rick Alexander
107, job: Executive Producer, name: Steve Tisch
10590, job: Director, name: Randall Wallace
36668, job: Editor, name: Mark Goldblatt
306650, job: Director, name: Paul Katis
122081, job: Producer, name: Jordan Gertner
11169, job: Producer, name: Art Linson
13493, job: Original Music Composer, name: Ed Shearmur
8881, job: Sound Effects Editor, name: Mark A. Mangini
13700, job: Casting, name: Mary Hidalgo
13205, job: Foley Editor, name: Dan Yale
11224, job: Director, name: Clyde Geronimi
16508, job: Storyboard, name: Ian Freedman
39433, job: First Assistant Director, name: Pierre Henry
251227, job: Editor, name: Victor Du Bois
9529, job: Art Direction, name: Bernard Rose
9644, job: Editor, name: Christopher Greenbury
16558, job: Original Music Composer, name: James Newton Howard
31546, job: Director, name: Michael Corrente
320, job: Director, name: Christopher Nolan
