k,Job,Name
404733, Casting, Dixie Chassay
9387, Sound mixer, Jim Willis
87101, Executive Producer, Laeta Kalogridis
15651, Camera Operator, Brian Knappenberger
10012, Stunt Coordinator, Charles Croughwell
139933, Casting Associate, Rich Delia
4970, Art Direction, Isabelle Guay
103, Sound Effects Editor, James Fritch
9426, Hairstylist, Ivan Lynch
8961, Screenplay, Ron Shelton
76341, Producer, George Miller
318846, Art Direction, Elliott Glick
341006, Production Design, Carlos Osorio
63112, Stunts, Sergio Testori
35122, Producer, Graham Broadbent
9268, Writer, Tony Puryear
284289, Casting, Jo Edna Boldin
18, Director of Photography, Thierry Arbogast
338, Producer, Manuela Stehr
16871, Director of Photography, Peter Deming
173897, Production Design, Edward Thomas
368031, Music, Martin Todsharow
, Post Production Supervisor, Kelley Cribben
16617, Supervising Art Director, Jon Billington
47327, Foley, Andy Malcolm
300673, Hair Department Head, Mary L. Mastro
194662, Producer, James W. Skotchdopole
55534, Producer, Matthew OConnor
402298, Production Design, Andrew McAlpine
393457, Art Direction, Karen Schulz Gropman
2321, Production Design, Kristi Zea
416477, Unit Production Manager, Jeremy Kipp Walker
1541, Costume Design, Elizabeth McBride
13154, Editor, Steven Kemper
10796, Screenplay, Glenn Morgan
72545, Set Designer, Chad S. Frey
291356, Casting, Terri Taylor
10191, Executive Producer, Tim Johnson
10715, Set Designer, John P. Bruce
17337, Producer, Melinda Rediger
35, Producer, Richard Sakai
9297, Makeup Artist, Tegan Taylor
381034, Writer, Billy OBrien
10315, Animation, Peter Dodd
13053, Modeling, Joe Whyte
2062, Art Department Manager, Jay Ward
8392, Background Designer, Youji Takeshige
14836, Producer, Bill Mechanic
44912, Producer, Donald De Line
51162, ADR & Dubbing, G.W. Brown
10009, Screenplay, Steve Bencich
15947, Story, William Cottrell
214756, Co-Producer, Mark Kamine
12, Original Music Composer, Thomas Newman
15166, Steadicam Operator, Christopher Ivins
7443, Executive Producer, Jeffrey Katzenberg
9473, Co-Producer, Anne Garefino
128, Animation, Makiko Futaki
72105, Stunts, Spike Silver
10470, Associate Producer, Petra Feldmann
533, Art Direction, Sarah Hauldren
77174, Animation, Anthony Scott
49948, Director, Eric Goldberg
378236, Foley, Brian Straub
149870, Producer, Seiji Okuda
9496, Screenplay, Rötger Feldmann
12593, Animation, Dick Lundy
170687, Producer, Travis Knight
98566, Writer, André Nemec
10539, Director of Photography, Hiro Narita
16306, Editor, Hélène Arnal
41201, Art Direction, Bjarne Hansen
291270, Production Design, Huy Vu
3170, Novel, Felix Salten
10895, Original Music Composer, Leigh Harline
223046, Camera Operator, Cosmo Anzilotti
49013, Associate Producer, Mark Nielsen
10380, Editor, Nick Fletcher
230179, Producer, Petri Jokiranta
257344, Producer, Allen Covert
43074, Music, Theodore Shapiro
75258, Supervising Sound Editor, Todd Toon
21724, Writer, Keenen Ivory Wayans
238713, Editor, Brent White
120467, Director of Photography, Robert D. Yeoman
73686, Art Direction, Katarzyna Sobanska-Strzalkowska
9331, Co-Producer, Ralph S. Singleton
77084, Co-Producer, Anthony Katagas
38843, Producer, Alison Greenspan
71668, Production Design, Ermanno Di Febo-Orsini
49047, Producer, Alfonso Cuarón
19101, Editor, Steven Weisberg
497, Production Design, Terence Marsh
45864, Stunts, Rick Avery
38753, Production Design, Waldemar Kalinowski
24617, Modeling, May Leung
8373, Costume Design, Deborah Lynn Scott
773, Producer, Ron Yerxa
182, Music Editor, Bill Bernstein
292280, Makeup Supervisor, Alan Tuskes
152747, Executive Producer, Cassian Elwes
1073, Producer, Tom Gorai
277, Production Design, Bruton Jones
17578, Casting, Scot Boland
346672, Visual Effects Supervisor, James McQuaide
38408, Art Direction, Austin Gorg
10782, Screenplay, James Vanderbilt
302026, Sound Recordist, Gabor Vadnay
34016, Camera Operator, Geoffrey Haley
227679, Producer, Satoshi Shimodaira
72197, Writer, Gideon Defoe
3179, Screenplay, Joe Stillman
314, Supervising Art Director, Shepherd Frankel
8880, Casting, Mary Vernieu
9846, Editor, M. Scott Smith
10345, Screenplay, Steven Siegel
127380, Production Design, Steve Pilcher
100241, Producer, Richard S. Wright
157350, Costume Design, Carlo Poggioli
13804, Characters, Gary Scott Thompson
27579, Supervising Art Director, Denis Schnegg
293167, Director of Photography, Larry Fong
396398, Set Decoration, Joseph G. Aulisi
672, Producer, David Heyman
36557, Sound Effects Editor, James Boyle
154972, Casting, Janusz Gosschalk
310131, Executive Producer, Thomas Benski
11665, Characters, Buck Henry
10190, Production Supervisor, Samson Mucke
8883, Line Producer, Arno Neubauer
2289, Supervising Art Director, Robert Guerra
408, Screenplay, Dorothy Ann Blank
62835, Helicopter Camera, Richard Brooks Burton
240, Production Design, Dean Tavoularis
9381, Supervising Art Director, John King
335988, Writer, Lindsey Beer
1995, Editor, Dallas Puett
228165, Translator, Misoon Kim
398818, Producer, Marco Morabito
37430, Producer, Les Weldon
62630, Producer, Paul Breuls
287424, Editor, Jane Rizzo
188927, Editor, Dylan Highsmith
10483, Art Direction, Michele Laliberte
64215, Property Master, Kanokkorn Booncharoensub
157336, Director of Photography, Hoyte van Hoytema
54138, Producer, Damon Lindelof
158852, Original Music Composer, Michael Giacchino
190955, Casting, Avy Kaufman
12165, Costume Design, Cindy Evans
287084, Production Design, Hannah Beachler
10057, Makeup Department Head, Paul Engelen
13155, Casting, Susie Figgis
11059, Original Music Composer, Reinhard Besser
634, Screenplay, Andrew Davies
9092, Costume Design, Marit Allen
5176, Screenplay, Michael Brandt
1878, Set Decoration, Nancy Haigh
9613, Writer, Patrick McGrath
140607, Editor, Mary Jo Markey
12547, Editor, Eddie Hamilton
11860, Makeup Artist, Bernadette Mazur
666, Assistant Director, João Emanuel Carneiro
1891, Production Design, Norman Reynolds
9008, Editor, Paul Rubell
313369, Producer, Fred Berger
938, Director of Photography, Massimo Dallamano
33, Editor, Joel Cox
9654, Music, John Powell
618, Assistant Director, Joseph Henabery
68818, Makeup Designer, Ana López Puigcerver
152584, Director of Photography, Sofian El Fani
63849, Director of Photography, The Chau Ngo
13168, Producer, Kevin Turen
55562, Casting, Sabine Schroth
41225, Dialogue, Daniel Boulanger
278774, Story, Rachelle Skoretz
40807, Post Production Supervisor, Nancy Kirhoffer
11970, Director, John Musker
510, Casting, Jane Feinberg
244267, Art Direction, Alan Lampert
79528, Assistant Editor, Petra Costa
11210, Novel, Daniel Defoe
220820, Director of Photography, Marco Cappetta
38166, Production Design, Brian Davie
16687, Lighting Technician, Stéphane Byl
9509, Original Music Composer, Harry Gregson-Williams
376134, Original Music Composer, Danny Bensi
13639, Screenplay, Pieter Verhoeff
24021, Editor, Art Jones
11451, Unit Production Manager, Michael Fottrell
277834, Story, John Musker
415, Editor, Dennis Virkler
356334, Editor, Michael Lane
7364, Art Direction, Tony Reading
11774, Set Decoration, Cheryl Carasik
160139, Property Master, Dominique Steiner-Studinka
1578, Assistant Director, Jerry Grandey
102899, Screenplay, Joe Cornish
9457, Dialogue Editor, Dan Yale
107, Co-Producer, Michael Dreyer
10590, Novel, Harold G. Moore
36668, Producer, Avi Arad
306650, Art Direction, Nasser Zoubi
122081, Set Decoration, Adam Willis
11169, Costume Design, Shay Cunliffe
13493, Executive Producer, Anthony Katagas
8881, Stunt Coordinator, Manny Siverio
13700, Assistant Sound Editor, Randall Guth
13205, Casting, Jamie Thomason
11224, Story, Homer Brightman
16508, Background Designer, Ray daSilva
39433, Line Producer, Juliette Hagopian
251227, Director, Nick Riedell
9529, Costume Design, Leonard Pollack
9644, Special Effects Coordinator, Lou Carlucci
16558, Production Design, Kevin Thompson
31546, Casting, Kerry Barden
320, Art Direction, Michael Diner
50765, Casting, Brent Caballero
48613, Screenplay, Massimo De Rita
239566, Executive Producer, Peter Afterman
9384, Casting, Juel Bestrop
12312, Original Music Composer, George S. Clinton
388202, Best Boy Electric, Joshua Anderson
1985, Producer, Tracey Seaward
316021, Editor, Rebecca Rodriguez
410988, Still Photographer, Chadd Harbold
302150, Casting, Mark Bennett
, Unit Production Manager, Avram Butch Kaplan
272693, Casting, Angela Demo
159667, Steadicam Operator, Brad Hruboska
23168, Screenplay, Aaron Stockard
9759, Executive In Charge Of Production, Erik Holmberg
9352, Art Direction, David Baxa
437, Casting, John Buchan
9799, Art Direction, Kevin Kavanaugh
67660, Unit Production Manager, Glenn S. Gainor
51620, Writer, Tony Giglio
9501, Original Music Composer, Patrick OHearn
242512, Editor, Ken Blackwell
9532, Producer, Glenn Morgan
23759, Writer, Neil Marshall
152745, Camera Operator, Daniel Vecchione
14001, Editor, Michael N. Knue
10304, Original Music Composer, John W. Morgan
13027, Sound Effects Editor, Dino Dimuro
10496, Set Decoration, Cynthia Epping
635, Set Decoration, Leslie A. Pope
218043, Editor, Michael J. Duthie
169209, Music, David Wittman
6312, Casting, Bernard Savin Pascaud
86467, Stunt Coordinator, Lee Sheward
8292, Casting, Robin D. Cook
10529, Author, Howard McCain
313922, Visual Effects Producer, Tim T. Cunningham
174316, Producer, Keir ODonnell
16911, Editor, Igor Litoninskiy
9829, Executive Producer, Liza Chasin
262500, Producer, Lucy Fisher
109424, Foley, Peter Burgis
10054, Set Decoration, Jeanette Scott
22881, Producer, Andrew A. Kosove
11258, Stunt Coordinator, Jeff Habberstad
49849, Costume Design, Mary Zophres
42536, Writer, Abel Gance
13825, Second Assistant Director, Charles Crossin
13616, Director of Photography, Buda Gulyás
36677, Director of Photography, Peter MacDonald
39486, Supervising Sound Editor, Sean McCormack
20312, Co-Producer, Eric Sandys
16996, Executive In Charge Of Production, Erik Holmberg
8643, Makeup Effects, Keith VanderLaan
8698, Casting, Donna Isaacson
82992, ADR & Dubbing, Anna MacKenzie
1624, Unit Production Manager, James D. Brubaker
7984, Visual Effects, Kent Houston
16436, Casting, Corinna Glaus
75674, Director, Scott Waugh
112454, Stunt Coordinator, Layton Morrison
8077, Costume Design, Bob Ringwood
71677, Special Effects Supervisor, Adrian Popescu
330459, Producer, Allison Shearmur
293660, Producer, Simon Kinberg
22803, Writer, Kurt Wimmer
157547, Sound Designer, Stephen Hunter Flick
130267, Art Direction, Rosario Provenza
340677, Makeup Department Head, Fiona Connon
607, Casting, Debra Zane
321697, Producer, Mark Gordon
139777, Casting, Priscilla John
324670, Casting, Cathy Sandrich
14028, Cinematography, Claudio Chea
126889, Set Decoration, Victor J. Zolfo
83589, Producer, Thomas Benski
9032, Screenplay, Adam Sandler
22584, Screenplay, William Faulkner
412280, Writer, Benjamin Ross Hayden
16325, Director of Photography, Lorenzo Senatore
31947, Set Decoration, Edward Tantar LeViseur
74, Costume Design, Joanna Johnston
