movie_ID,Job,Name
404733, Property Master, Uriel Zylberman
9387, Production Design, Ron Cobb
87101, Producer, Dana Goldberg
15651, Executive Producer, Bruce Bastian
10012, Makeup Artist, Judy Lovell
139933, Executive Producer, Jacob Pechenik
4970, First Assistant Editor, Harold Parker
103, Writer, Paul Schrader
9426, Creature Design, Chris Walas
8961, Costume Design, Deborah Lynn Scott
76341, Art Direction, Jacinta Leong
318846, Set Decoration, Linda Lee Sutton
341006, Script Supervisor, Iván Palomino
63112, Producer, Ermanno Curti
35122, Casting, Karen Margiotta
9268, Casting, Bonnie Timmermann
284289, Art Direction, James F. Oberlander
18, Art Direction, Ron Gress
338, Music Supervisor, Andro Steinborn
16871, Makeup Artist, Michael F. Blake
173897, Makeup Supervisor, Kerry Skelton
368031, Costume Design, Tatjana Brecht-Bergen
, Assistant Art Director, W. Steven Graham
16617, Co-Producer, Hans de Weers
47327, Executive Producer, Danny Dimbort
300673, Producer, Dorothy Aufiero
194662, Associate Producer, Nicolás Giacobone
55534, Visual Effects Producer, Annie Dautane
402298, Camera Operator, Tomasz Nowak
393457, Property Master, Kevin Ladson
2321, Writer, Mark R. Burns
416477, Director of Photography, Brian Burgoyne
1541, Stunt Coordinator, Bobby Bass
13154, Costume Design, Robyn Williams
10796, Editor, James Coblentz
72545, Producer, Charlotte Huggins
291356, Assistant Property Master, Derek Bensonhaver
10191, Director, Chris Sanders
10715, Executive Producer, Larry Doyle
17337, Production Manager, Jonathan Kang
35, Screenplay, Mike Scully
9297, Editor, Fabienne Rawley
381034, Co-Producer, Lionel Hicks
10315, Animation, Chris Tichborne
13053, Screenplay, Chris Williams
2062, Animation, Andrew L. Schmidt
8392, Art Direction, Kazuo Oga
14836, Executive Producer, Alex Heineman
44912, Screenplay, Michael Green
51162, Supervising Animator, Mark Henn
10009, Visual Development, Bill Perkins
15947, Story, James Bodrero
214756, Producer, John Jacobs
12, Visual Development, Dominique Louis
15166, Executive Producer, Zhang Chao Seng
7443, Story, Peter Lord
9473, Animation, Frank Sudol
128, Executive Producer, Seiichiro Ujiie
72105, Stunts, Kevin Scott
10470, Art Direction, Rötger Feldmann
533, Executive Producer, Cecil Kramer
77174, Animation, Cesar Diaz Melendez
49948, Sound Re-Recording Mixer, Mel Metcalfe
378236, Animation, John Turello
149870, Animation, Akihiko Yamashita
9496, Original Music Composer, Harry Schnitzler
12593, Animation, Milton Gray
170687, Sculptor, Scott Foster
98566, Compositors, Brian N. Bentley
10539, Animation, Anthony Scott
16306, Animation, Jindrich Bárta
41201, Animation, Thierry Torres Rubio
291270, Animation, Ludovic Berardo
3170, Animation, Bernard Garbutt
