id,budget,original_language,popularity,revenue,runtime,vote_average,vote_count,release_month,avg_rating,keyword_bin,actor_bin,crew_bin,country_count,country_bin,genre,genre_bin,language_count,language_bin,collection_bin
862,30000000,en,21.946943,373554033,81,7.7,5415,Oct,3.5989304812834226,1,1,0,1,0,Animation,0,1,0,1
31357,16000000,en,3.859495,81452156,127,6.1,34,Dec,3.493333333333333,0,0,0,1,0,Comedy,0,1,0,0
11860,58000000,en,6.677277,33828318,127,6.2,141,Dec,3.5555555555555554,0,0,0,2,0,Comedy,0,2,0,0
9091,35000000,en,5.23158,64350171,106,5.5,174,Dec,2.697058823529412,0,0,0,1,0,Action,0,1,0,0
710,58000000,en,14.686036,352194034,130,6.6,1194,Nov,2.740333586050038,0,0,0,2,0,Adventure,0,3,0,1
10858,44000000,en,5.092,13681765,192,7.1,72,Dec,3.6058352402745997,0,1,0,1,0,History,0,1,0,0
524,52000000,en,10.137389,116112375,178,7.8,1343,Nov,3.5151697042453347,0,1,1,2,0,Drama,0,1,0,0
4584,16500000,en,10.673167,135000000,136,7.2,364,Dec,2.7184115523465704,0,1,0,2,0,Drama,0,1,0,0
5,4000000,en,9.026586,4300000,98,6.5,539,Dec,3.079564818455892,0,0,0,1,0,Crime,0,1,0,0
9273,30000000,en,8.205448,212385533,90,6.1,1128,Nov,3.313488759367194,0,1,0,1,0,Crime,0,1,0,1
8012,30250000,en,12.669608,115101622,105,6.4,305,Oct,3.842696629213483,0,0,0,1,0,Comedy,0,1,0,1
9691,50000000,en,11.065939,30303072,132,6,394,Oct,3.0846750149075732,0,0,1,2,0,Action,0,3,0,0
451,3600000,en,10.332025,49800000,112,7.1,365,Oct,3.0541158536585367,0,0,0,1,0,Drama,0,1,0,0
9263,12000000,en,8.681325,27400000,100,6.6,91,Oct,2.891286970423661,0,0,0,1,0,Comedy,0,1,0,0
902,18000000,fr,9.822423,1738611,108,7.6,308,May,3.821982549684925,0,0,0,3,0,Fantasy,0,2,0,0
63,29500000,en,12.297305,168840000,129,7.4,2470,Dec,3.114120283899888,0,1,0,1,0,Science Fiction,0,2,0,0
9598,30000000,en,14.404764,254134910,89,6,756,Jul,3.343231441048035,0,0,0,2,0,Fantasy,0,1,0,1
687,11000000,en,6.891317,39363635,122,7.3,350,Dec,2.9950980392156863,0,0,0,2,0,Drama,0,1,0,0
9603,12000000,en,9.882383,35057696,97,6.9,828,Jul,3.3,0,0,0,1,0,Comedy,0,2,0,0
11443,10000000,en,9.87957,51079064,119,6.6,80,Oct,3.0659059152305543,0,0,0,1,0,Action,0,1,0,0
35196,19000000,en,10.979269,9622846,117,6.3,30,Dec,3.16751269035533,0,0,0,1,0,Drama,0,2,0,0
9312,18000000,en,10.870138,122195920,101,5.4,452,Aug,4.05944683908046,1,0,0,1,0,Action,0,1,0,1
577,20000000,en,10.448481,21284514,106,6.7,177,May,2.8165413533834585,0,1,0,1,0,Fantasy,0,1,0,0
11861,10000000,en,4.485958,23574130,116,6.5,38,Oct,3.4205731439142726,0,0,0,1,0,Drama,0,1,0,0
807,33000000,en,18.45743,327311859,127,8.1,5915,Sep,3.2782805429864252,1,1,0,1,0,Crime,0,1,0,0
10530,55000000,en,13.280069,346079773,81,6.7,1509,Jun,2.7777777777777777,0,1,0,1,0,Adventure,0,1,0,1
629,6000000,en,16.302466,23341568,106,8.1,3334,Jul,3.1551724137931036,0,0,0,1,0,Drama,0,4,0,0
11448,15000000,en,15.899134,6700000,95,6.7,145,Sep,3.9346733668341707,0,1,0,1,0,Comedy,0,1,0,0
11359,45000000,en,10.673296,63215872,96,5.9,136,Jul,2.5568181818181817,0,0,0,1,0,Adventure,0,1,0,0
17182,20000000,en,4.733526,117629,101,5.8,65,Jan,3.015873015873016,0,0,0,1,0,Drama,0,4,0,0
9536,15000000,en,6.387469,8888143,88,4.4,110,Jan,2.433628318584071,0,0,0,1,0,Comedy,0,2,0,0
10634,3500000,en,14.56965,28215918,91,7,513,Apr,3.0294117647058822,0,0,0,1,0,Comedy,0,1,0,1
755,19000000,en,15.339153,25836616,108,6.9,1644,Jan,3.375796178343949,0,1,1,1,0,Horror,0,2,0,1
11859,50000000,en,5.912223,11534477,91,4.1,54,Nov,2.8989234449760763,0,0,0,1,0,Action,0,2,0,0
36929,15000000,en,2.936443,2042530,90,3.9,16,Jan,2.2222222222222223,0,0,0,1,0,Comedy,0,1,0,0
9102,20000000,en,12.758848,5781885,108,6.1,154,Sep,1.2031963470319635,0,0,0,3,0,Horror,0,1,0,1
9623,44000000,en,6.010579,4607608,118,5.5,91,Feb,3,0,0,0,1,0,Drama,0,1,0,0
400,8000000,en,4.486179,529766,116,6.7,87,Dec,2.5454545454545454,0,0,0,1,0,Drama,0,1,0,0
880,900000,nl,2.030174,100,102,7.2,26,Sep,2.496205872649291,0,0,0,3,0,Drama,0,1,0,0
