id,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
862, Animation, Comedy, Family,,,,,
8844, Adventure, Fantasy, Family,,,,,
15602, Romance, Comedy,,,,,,
31357, Comedy, Drama, Romance,,,,,
11862, Comedy,,,,,,,
949, Action, Crime, Drama, Thriller,,,,
11860, Comedy, Romance,,,,,,
45325, Action, Adventure, Drama, Family,,,,
9091, Action, Adventure, Thriller,,,,,
710, Adventure, Action, Thriller,,,,,
9087, Comedy, Drama, Romance,,,,,
12110, Comedy, Horror,,,,,,
21032, Family, Animation, Adventure,,,,,
10858, History, Drama,,,,,,
1408, Action, Adventure,,,,,,
524, Drama, Crime,,,,,,
4584, Drama, Romance,,,,,,
5, Crime, Comedy,,,,,,
9273, Crime, Comedy, Adventure,,,,,
11517, Action, Comedy, Crime,,,,,
8012, Comedy, Thriller, Crime,,,,,
1710, Drama, Thriller,,,,,,
9691, Action, Adventure, Crime, Thriller,,,,
12665, Drama, Fantasy, Science Fiction, Thriller,,,,
451, Drama, Romance,,,,,,
16420, Drama,,,,,,,
9263, Comedy, Drama, Family,,,,,
17015, Drama, Romance,,,,,,
902, Fantasy, Science Fiction, Adventure,,,,,
37557, Drama, Crime,,,,,,
9909, Drama, Crime,,,,,,
63, Science Fiction, Thriller, Mystery,,,,,
78802, Romance, Adventure,,,,,,
9598, Fantasy, Drama, Comedy, Family,,,,
47018, History, Drama, Romance,,,,,
687, Drama,,,,,,,
139405, Adventure, History, Drama, Family,,,,
33689, Comedy, Family, Romance,,,,,
9603, Comedy, Drama, Romance,,,,,
34615, Drama,,,,,,,
31174, Drama, War,,,,,,
11443, Action, Crime, Drama, History,,,,
35196, Drama, Romance,,,,,,
9312, Action, Fantasy,,,,,,
577, Fantasy, Drama, Comedy, Thriller,,,,
11861, Drama, Romance,,,,,,
807, Crime, Mystery, Thriller,,,,,
10530, Adventure, Animation, Drama, Family,,,,
8391, Drama, Romance,,,,,,
629, Drama, Crime, Thriller,,,,,
117164, Action, Thriller, Drama,,,,,
11448, Comedy, Romance,,,,,,
49133, Drama, Foreign,,,,,,
26441, Action, Adventure, Comedy, Family,,,,
97406, Drama,,,,,,,
124057,,,,,,,,
9089, Comedy, Drama, Romance,,,,,
11010, Comedy, Drama, Romance,,,,,
99040, Thriller, Drama, Mystery,,,,,
11359, Adventure, Family, Fantasy,,,,,
17182, Drama, Thriller,,,,,,
2054, Music, Drama, Family,,,,,
10607, Comedy,,,,,,,
19760, Comedy, Romance,,,,,,
9536, Comedy,,,,,,,
11525, Action, Science Fiction,,,,,,
40628, Drama, Family,,,,,,
4482, Comedy, Romance,,,,,,
10634, Comedy,,,,,,,
755, Horror, Action, Thriller, Crime,,,,
11859, Action, Thriller, Romance,,,,,
28387, Comedy, Drama, Romance,,,,,
48750, Drama, History,,,,,,
20927, Drama, Romance,,,,,,
36929, Comedy, Family,,,,,,
9102, Horror, Science Fiction,,,,,,
124626, Documentary,,,,,,,
27526, Drama, Thriller,,,,,,
9623, Drama, Thriller,,,,,,
46785, Family, Drama,,,,,,
400, Drama, Crime,,,,,,
880, Drama, Comedy,,,,,,
146599, Romance, Drama,,,,,,
188588,,,,,,,,
8447, Drama, Romance,,,,,,
10534, Action, Drama,,,,,,
17414, Adventure, Comedy, Family,,,,,
13997, Comedy,,,,,,,
2086, Crime, Drama, Thriller,,,,,
61548, Drama,,,,,,,
9095, Drama, Horror, Thriller, Romance,,,,
12158, Comedy, Horror, Romance,,,,,
9283, Comedy, Drama, Romance,,,,,
9208, Action, Adventure, Drama, Thriller,,,,
40154, Comedy,,,,,,,
406, Drama,,,,,,,
45549, Action, Adventure, Drama, Science Fiction, Thriller,,,
63076, Documentary,,,,,,,
11062, Drama, Thriller,,,,,,
13685, Comedy, Crime, Drama,,,,,
47475, Comedy, Romance,,,,,,
2045, Drama, Mystery, Science Fiction, Thriller,,,,
9614, Comedy,,,,,,,
688, Drama, Romance,,,,,,
11907, Drama, Comedy, Family,,,,,
10874, Action, Comedy, Music, Family, Adventure,,,
89333, Documentary,,,,,,,
96357, Crime,,,,,,,
197, Action, Drama, History, War,,,,
103, Crime, Drama,,,,,,
33542, Crime, Action, Comedy, Thriller,,,,
43566, Drama, Thriller,,,,,,
71754, Drama,,,,,,,
43612, Comedy,,,,,,,
51352, Documentary, Drama, Foreign,,,,,
16934, Comedy, Crime, Drama,,,,,
10324, Comedy, Romance,,,,,,
78406, Comedy, Drama,,,,,,
55731, Action, Adventure, Comedy, Drama, Family,,,
32119, Drama,,,,,,,
11066, Comedy, Romance,,,,,,
11104, Drama, Comedy, Romance,,,,,
37975, Drama, Romance,,,,,,
2074, Comedy, Romance,,,,,,
27793, Fantasy,,,,,,,
44284, Drama,,,,,,,
290157,,,,,,,,
110972, Comedy, Romance,,,,,,
32622, Comedy, Drama,,,,,,
73067, Drama, Romance, War,,,,,
11863, Action, Thriller, Mystery, Romance,,,,
55475, Comedy, Drama, Romance,,,,,
124636, Music, Documentary,,,,,,
9101, Comedy,,,,,,,
123360, Documentary,,,,,,,
5757, Comedy,,,,,,,
39428, Drama,,,,,,,
124639,,,,,,,,
9302, Drama, Romance,,,,,,
11000, Comedy,,,,,,,
249882, Drama,,,,,,,
16388, Comedy, Drama, Romance,,,,,
9737, Action, Comedy, Crime, Thriller,,,,
30765, Action, Adventure, Drama, Family,,,,
10474, Drama, Crime,,,,,,
22279, Romance, Drama, Comedy,,,,,
30157, Crime, Comedy, Drama, Thriller,,,,
568, Drama,,,,,,,
11780, Adventure,,,,,,,
34996, Drama, Horror,,,,,,
414, Action, Crime, Fantasy,,,,,
649, Drama, Romance,,,,,,
1873, Drama, Thriller,,,,,,
5894, Comedy,,,,,,,
1775, Action, Comedy,,,,,,
8839, Fantasy, Comedy, Family,,,,,
20649, Mystery, Crime, Drama,,,,,
10329, Action, Adventure, Drama, Mystery, Science Fiction, Thriller,,
8963, Action, Thriller, Drama,,,,,
26564, Documentary,,,,,,,
8068, Thriller, Action, Crime,,,,,
8512, Drama, Mystery, Thriller,,,,,
1572, Action, Thriller,,,,,,
13552, Action, Comedy, Crime, Drama,,,,
259209, Drama, Crime,,,,,,
6520, Action, Adventure, Drama, Romance,,,,
9073, Adventure,,,,,,,
