id,lang1,lang2,lang3,lang4,lang5,lang6,lang7,lang8,lang9,lang10
862, English,,,,,,,,,
8844, English, Français,,,,,,,,
15602, English,,,,,,,,,
31357, English,,,,,,,,,
11862, English,,,,,,,,,
949, English, Español,,,,,,,,
11860, Français, English,,,,,,,,
45325, English, Deutsch,,,,,,,,
9091, English,,,,,,,,,
710, English, Pусский, Español,,,,,,,
9087, English,,,,,,,,,
12110, English, Deutsch,,,,,,,,
21032, English,,,,,,,,,
10858, English,,,,,,,,,
1408, English, Latin,,,,,,,,
524, English,,,,,,,,,
4584, English,,,,,,,,,
5, English,,,,,,,,,
9273, English,,,,,,,,,
11517, English,,,,,,,,,
8012, English,,,,,,,,,
1710, English, Deutsch,,,,,,,,
9691, English, Español, Nederlands,,,,,,,
12665, English,,,,,,,,,
451, English,,,,,,,,,
16420, English,,,,,,,,,
9263, English,,,,,,,,,
17015, English,,,,,,,,,
902, 广州话 / 廣州話, Français,,,,,,,,
37557, 普通话,,,,,,,,,
9909, English,,,,,,,,,
63, English, Français,,,,,,,,
78802, English,,,,,,,,,
9598, English,,,,,,,,,
47018, English,,,,,,,,,
687, English,,,,,,,,,
139405, Pусский, English,,,,,,,,
33689, English,,,,,,,,,
9603, Español, English,,,,,,,,
34615, English,,,,,,,,,
31174, English,,,,,,,,,
11443, English,,,,,,,,,
35196, English, Español,,,,,,,,
9312, English,,,,,,,,,
577, English,,,,,,,,,
11861, English,,,,,,,,,
807, English,,,,,,,,,
10530, English,,,,,,,,,
8391, English,,,,,,,,,
629, Español, English, Français, Magyar,,,,,,
117164,,,,,,,,,,
11448, English,,,,,,,,,
49133, shqip, Italiano,,,,,,,,
26441, English, Deutsch,,,,,,,,
97406, English,,,,,,,,,
124057, English,,,,,,,,,
9089, English, Español,,,,,,,,
11010, Italiano, Español,,,,,,,,
99040, English, Français,,,,,,,,
11359, English,,,,,,,,,
17182, English, Français, 한국어/조선말, Español,,,,,,
2054, English,,,,,,,,,
10607, English, Español,,,,,,,,
19760, English,,,,,,,,,
9536, English, Pусский,,,,,,,,
11525, English, Magyar,,,,,,,,
40628, English,,,,,,,,,
4482, Français, Español,,,,,,,,
10634, English,,,,,,,,,
755, English, Español,,,,,,,,
11859, English, Español,,,,,,,,
28387, English,,,,,,,,,
48750, Français,,,,,,,,,
20927, English,,,,,,,,,
36929, English,,,,,,,,,
9102, English,,,,,,,,,
124626, Deutsch, English,,,,,,,,
27526, English,,,,,,,,,
9623, English,,,,,,,,,
46785, فارسی,,,,,,,,,
400, English,,,,,,,,,
880, Nederlands,,,,,,,,,
146599, English,,,,,,,,,
188588,,,,,,,,,,
8447, English,,,,,,,,,
10534, Dansk, English, Français, Deutsch,,,,,,
17414, English, Français, Pусский,,,,,,,
13997, English,,,,,,,,,
2086, English,,,,,,,,,
61548, English,,,,,,,,,
9095, English,,,,,,,,,
12158, English,,,,,,,,,
9283, English,,,,,,,,,
9208, English,,,,,,,,,
40154, English,,,,,,,,,
